,u,v,length,highway,name,maxspeed
0,62829161,1618037846,325.16213557527146,trunk,"['南浦大桥', '内环高架路']",60
1,62829161,482734405,290.0811832567465,trunk_link,,
2,62901911,9850907381,272.7961042609596,trunk_link,,
3,62901921,467035962,70.5482717419472,trunk_link,,
4,62901921,62901911,306.36832611455105,trunk_link,,
5,62901922,62901921,9.693567492262076,trunk_link,,
6,62901934,62901922,97.63587227252584,trunk_link,,
7,62901934,86784826,260.5321686011465,trunk_link,,
8,62901945,467035969,25.325098601015654,trunk_link,,
9,62901945,71055357,60.55767437573725,trunk_link,,
10,62901951,62901945,322.79165448165827,trunk_link,,
11,62901951,86784828,955.0423384173845,trunk,南北高架路,
12,62917024,477597199,154.18511011449382,residential,成都南路,
13,62917024,479307593,154.73325381812728,residential,成都南路,
14,62917024,477598679,237.1253161740582,tertiary,长乐路,
15,62917024,109426242,408.7591689001555,tertiary,长乐路,
16,62917031,850283413,165.0618272665756,primary,延安中路,
17,62917034,4987519209,40.556747081142575,primary_link,,
18,62917034,62917031,150.94486942633728,primary,延安中路,
19,63279232,1723132702,467.39251747460133,trunk_link,,
20,63279265,648620800,574.9874883032487,trunk,南北高架路,
21,63279265,7602463530,82.08611885685306,trunk_link,新闸路出口,40
22,63283237,640008088,11.037677665611506,secondary,石门二路,
23,63283237,109652252,20.254072199601232,secondary,新闸路,
24,63283241,9339213757,144.9640040088776,residential,泰兴路,
25,63283241,94821548,12.588414576110642,secondary,新闸路,
26,63283241,109652287,343.80463369985097,secondary,新闸路,
27,63283246,495832245,310.3175440952546,secondary,江宁路,
28,63283246,554132715,215.68338168461872,secondary,江宁路,
29,63283246,554132623,202.5009019085458,secondary,新闸路,
30,63283246,63283249,167.72513533469117,secondary,新闸路,
31,63283249,1490098826,229.28677877187988,secondary,新闸路,
32,63283249,132369185,311.9684334521523,secondary,陕西北路,
33,63283249,63283246,167.72513533469117,secondary,新闸路,
34,63288812,83316739,308.8677828972863,trunk_link,,
35,63298507,8836021694,173.5834501489696,primary,世纪大道,
36,63302402,63302403,41.755421595485736,secondary,东昌路,
37,63302402,495771171,17.75025511421738,secondary,浦城路,
38,63302403,848698213,201.96636186161618,secondary,东昌路,
39,63302403,624738555,1862.3014452325506,secondary,人民路隧道,40
40,63303824,495772552,11.663969146887762,secondary,陆家嘴环路,
41,63303824,8895364633,164.98190009316718,tertiary,东泰路,
42,63303828,495771120,16.139712787749414,secondary,陆家嘴环路,
43,63303828,495771302,211.323908821927,secondary,银城中路,
44,63305187,495771117,21.33689277246476,tertiary,花园石桥路,
45,63305187,848698010,21.113215716190997,secondary,银城中路,
46,63308065,1785697720,39.05051853027256,secondary,世纪大道,
47,63308065,63308068,43.978558115275,secondary,陆家嘴环岛,
48,63308068,1785697732,6.028579415159161,secondary,陆家嘴环岛,
49,63308072,63308075,39.43621088268459,secondary,陆家嘴环岛,
50,63308075,84487112,132.65046272388767,tertiary,丰和路,
51,63308075,63308076,19.25254410281528,secondary,陆家嘴环岛,
52,63308076,63308077,1.7864474357956752,secondary,陆家嘴环岛,
53,63308077,1785697747,38.126491218752406,tertiary,陆家嘴西路,
54,63308077,602360648,41.48300041581783,secondary,陆家嘴环岛,
55,63312209,495772550,183.0925246011742,tertiary,东泰路,
56,63312209,1765485421,52.711956769675794,tertiary_link,,
57,63338308,824481319,9.919513556632543,primary,延安中路,
58,63338308,9854768353,223.59851197543372,secondary,华山路,
59,64806543,843042334,18.073294877962134,residential,宣化路,30
60,64806543,573267343,527.0949714786319,residential,东诸安浜路,30
61,64806543,287798565,159.9768170353102,primary,江苏路,
62,64806568,64807049,15.412108208491176,primary,延安西路,
63,64806568,64806543,424.75615343448203,primary,江苏路,
64,64807049,78621049,29.422624022843575,primary,江苏路,
65,64807049,994217569,220.74937680524192,primary,延安西路,
66,64809070,78627019,211.10803992831626,secondary,南京西路,
67,64809070,94820531,259.2439187999054,secondary,陕西北路,
68,64809070,64849287,177.750020836797,secondary,南京西路,
69,64809070,94761700,196.46597275367773,secondary,陕西北路,
70,64813772,475977913,145.49657455194927,secondary,复兴东路,40
71,64813773,475977667,67.123389965857,secondary,复兴东路,40
72,64813782,483108462,189.1861988681623,residential,东台路,
73,64813782,478373250,92.6761461872305,secondary,复兴中路,
74,64837069,857780856,9.996352107767711,residential,济南路,
75,64837069,857780858,197.2557678581385,residential,济南路,
76,64837069,1572268640,136.76467541764535,secondary,复兴中路,
77,64841401,467035962,37.0957613714427,trunk_link,,
78,64841401,467035971,77.07370056127824,trunk_link,,
79,64841428,850287499,339.14874507633994,trunk,南北高架路,
80,64846822,5082912938,11.387421222391657,residential,威海路,
81,64846822,486591897,17.6606176560259,residential,威海路,
82,64846822,5082929927,37.48519478927614,primary,成都北路,
83,64846823,8364473745,307.53803472989506,trunk_link,,
84,64846823,5083013940,246.7922003558544,primary,成都北路,
85,64846823,5082972161,86.87639000859579,primary,,
86,64849276,602243208,156.13222477150677,tertiary,凤阳路,
87,64849276,555631228,107.88032707723147,secondary,石门二路,
88,64849276,4475361259,188.05723983185834,secondary,南京西路,
89,64849276,109427633,285.25762323332845,secondary,南京西路,
90,64849283,477582652,322.6849687753938,residential,茂名北路,
91,64849283,109427633,117.93884766600944,secondary,南京西路,
92,64849283,64849286,99.67010875307969,secondary,南京西路,
93,64849286,64849287,114.26450257335915,secondary,南京西路,
94,64849286,64849283,99.67010875307969,secondary,南京西路,
95,64849287,555628670,121.4039604274068,secondary,江宁路,
