osmid,y,x,highway
62829161,31.2087342,121.4927874,
62901911,31.200288,121.4762546,
62901921,31.1991281,121.4733798,
62901922,31.199045,121.473349,traffic_signals
62901934,31.1987394,121.4724964,
62901945,31.1997946,121.4722349,
62901951,31.2026054,121.471474,motorway_junction
62917024,31.2238183,121.4630516,
62917031,31.2257206,121.4629259,
62917034,31.2256494,121.461347,
63279232,31.2630385,121.457487,
63279265,31.2474434,121.4578552,motorway_junction
63283237,31.2376933,121.4556172,traffic_signals
63283241,31.2354854,121.4529027,
63283246,31.2346134,121.4491054,
63283249,31.2340976,121.4474478,
63288812,31.2254191,121.4653791,
63298507,31.2377876,121.5028412,
63302402,31.2340338,121.50559,traffic_signals
63302403,31.2338955,121.5051817,
63303824,31.2348753,121.5026178,
63303828,31.234627,121.4998875,traffic_signals
63305187,31.2366248,121.4996319,
63308065,31.2400436,121.4963243,
63308068,31.2403992,121.4964205,
63308072,31.240544,121.4962069,
63308075,31.2404189,121.4958459,
63308076,31.240253,121.4957969,
63308077,31.240237,121.4957986,
63312209,31.2379687,121.5019475,
63338308,31.2226839,121.4409736,traffic_signals
64802303,31.2638516,121.4600074,
64806543,31.2198273,121.4269966,traffic_signals
64806568,31.2162148,121.4284465,traffic_signals
64807049,31.2161517,121.4283022,traffic_signals
64809070,31.2292162,121.4505207,
64813772,31.2237464,121.4924585,
64813773,31.2241111,121.4903636,
64813782,31.220563,121.4774505,traffic_signals
64837069,31.2198896,121.4752059,traffic_signals
64841401,31.1997342,121.4735303,
64841428,31.2298394,121.4627,
64846822,31.2294646,121.4627946,traffic_signals
64846823,31.2304014,121.4628254,
64849276,31.2328795,121.4575502,
64849283,31.2311826,121.4539251,
64849286,31.2306873,121.4530557,
64849287,31.2301467,121.4520341,
64926223,31.2245365,121.4662937,
66899648,31.2245044,121.4406051,traffic_signals
68060267,31.2011469,121.4782946,motorway_junction
68065435,31.2026335,121.4715836,
68621844,31.259019,121.4403415,motorway_junction
68622547,31.2609304,121.4496066,
68622585,31.2619368,121.4544903,motorway_junction
71055357,31.1993049,121.4719567,
71055371,31.1975593,121.4677313,
71121975,31.2299303,121.4625632,motorway_junction
71127148,31.2273025,121.4725084,traffic_signals
71127847,31.2294514,121.467733,traffic_signals
71128708,31.217645,121.4687913,traffic_signals
71129462,31.2213451,121.4685655,traffic_signals
71129470,31.2219828,121.4710652,traffic_signals
75349972,31.2364184,121.486706,traffic_signals
75350958,31.2346186,121.4803665,
75351492,31.2310119,121.4799582,traffic_signals
75352048,31.2343133,121.4779807,
75354582,31.2173046,121.5022741,traffic_signals
75354586,31.2276108,121.4956429,traffic_signals
75355691,31.231378,121.4895573,traffic_signals
75355694,31.2315164,121.4858428,
76482084,31.2174437,121.4663837,traffic_signals
76482085,31.2182139,121.4704602,traffic_signals
76482203,31.2171151,121.4630494,traffic_signals
76482724,31.2123516,121.465345,
76482738,31.2171297,121.4805746,traffic_signals
76482739,31.2193552,121.4794631,traffic_signals
78011918,31.2259193,121.4580627,
78011931,31.2313854,121.4752296,
78017298,31.2188781,121.4323329,motorway_junction
78586227,31.2440793,121.4854996,
78589083,31.2471732,121.4862123,traffic_signals
78592090,31.2478797,121.4878087,traffic_signals
78592095,31.2486492,121.490493,
78592099,31.2512989,121.4959701,traffic_signals
78592104,31.2542431,121.5047499,traffic_signals
78604047,31.2286735,121.4702719,
78607695,31.2259205,121.4632838,motorway_junction
78621049,31.2159001,121.428398,traffic_signals
78621053,31.2168273,121.4299344,
78621054,31.2191418,121.43313,traffic_signals
78622461,31.2166055,121.4233179,
78627019,31.2286284,121.4484501,
78632221,31.2230905,121.4378621,traffic_signals
79811522,31.213477,121.5098271,traffic_signals
81322970,31.2591077,121.4402911,
82515933,31.2108389,121.446866,
82515934,31.2110475,121.4475346,
82516857,31.2113563,121.4454849,
82517936,31.2105029,121.4449447,
82518112,31.205435,121.4412333,traffic_signals
82518464,31.2060284,121.4429837,
82526036,31.2088642,121.443702,
83316739,31.2230718,121.4670726,
84466485,31.2410698,121.5044005,
84466490,31.2424002,121.5021678,
84466494,31.2411885,121.5004286,
84466496,31.2427429,121.498614,
84487112,31.2410191,121.4946676,
84487113,31.2416951,121.4937267,
84487132,31.2456945,121.50147,
84487663,31.2388134,121.4931917,traffic_signals
84488166,31.2345439,121.498579,traffic_signals
84488167,31.2337089,121.4977566,
84488206,31.2352784,121.4958717,
84489488,31.2321732,121.4995047,traffic_signals
84489700,31.2325413,121.5004931,traffic_signals
85010431,31.2251274,121.4698784,traffic_signals
85011021,31.223151,121.4695328,traffic_signals
85011298,31.223575,121.4706973,traffic_signals
85014614,31.2054435,121.4410708,traffic_signals
85647366,31.2294397,121.5029738,traffic_signals
85654851,31.2358531,121.5088035,
86782973,31.1979002,121.468964,motorway_junction
86784820,31.1985879,121.4723543,motorway_junction
86784826,31.1968444,121.4739968,
86784828,31.194577,121.4749881,
86871385,31.194519,121.4614979,motorway_junction
87604258,31.2118504,121.4656416,traffic_signals
87723676,31.2090079,121.4436558,
87739322,31.2359685,121.508712,
87752335,31.2229358,121.4409275,traffic_signals
87752549,31.226203,121.4693806,traffic_signals
87781402,31.2113812,121.4454276,
87781592,31.2216618,121.4698096,traffic_signals
93246167,31.2220687,121.4728612,traffic_signals
93246191,31.2220914,121.4741237,traffic_signals
93246664,31.2238107,121.4691711,traffic_signals
93246685,31.2242489,121.4703759,traffic_signals
93310009,31.2219856,121.4756711,traffic_signals
93310272,31.2226238,121.4774066,traffic_signals
93310875,31.223855,121.4876697,
93332044,31.2237166,121.4853908,traffic_signals
93332051,31.2237384,121.4855182,traffic_signals
93332110,31.2238026,121.4854941,traffic_signals
93332133,31.2237854,121.4853506,traffic_signals
93438508,31.2435726,121.5039579,
93466273,31.2423951,121.4926563,
93466295,31.2409479,121.4946061,
93466391,31.2417684,121.4935617,
93466463,31.2398446,121.4955416,
93792082,31.2282473,121.5089425,traffic_signals
93792440,31.2340403,121.5058022,traffic_signals
93792610,31.2298081,121.5081282,traffic_signals
94544849,31.2635242,121.45892,motorway_junction
94574920,31.2105936,121.4432377,
94574925,31.2105111,121.4448461,
94589934,31.2109059,121.4429898,
94632188,31.2065738,121.4443399,
94707271,31.2241456,121.4463076,
94761700,31.2306553,121.4493876,
94820531,31.2272126,121.4518734,
94821259,31.2385593,121.4565175,traffic_signals
94821548,31.2354383,121.4527823,
95350375,31.2067524,121.4701267,motorway_junction
95386222,31.2347746,121.4816693,traffic_signals
95386499,31.2352951,121.4833563,traffic_signals
95386508,31.2356054,121.4832596,
95386562,31.2358409,121.484911,traffic_signals
95612191,31.2158206,121.4765848,traffic_signals
95612298,31.2145542,121.4730115,traffic_signals
95663349,31.2320524,121.4824026,traffic_signals
95679584,31.2180486,121.4800889,
103691783,31.2459913,121.4859238,traffic_signals
103736843,31.2142663,121.5011316,
103736869,31.2318739,121.4906895,traffic_signals
103736983,31.2274745,121.4954241,traffic_signals
103737164,31.2170883,121.5022229,traffic_signals
103764456,31.2319726,121.4908979,traffic_signals
103764778,31.2340948,121.4887033,traffic_signals
103764845,31.2339868,121.488546,traffic_signals
103781041,31.2426603,121.4858057,traffic_signals
103781049,31.2413209,121.4855411,
103781196,31.2414928,121.4835939,
103781336,31.2414095,121.4827593,traffic_signals
103781600,31.2453432,121.4814071,traffic_signals
103788043,31.238562,121.484024,traffic_signals
103788196,31.2372973,121.4844111,traffic_signals
103795804,31.2426688,121.4822695,traffic_signals
103795925,31.2425488,121.4810619,traffic_signals
103831022,31.2426993,121.4828755,traffic_signals
103832215,31.2447835,121.482891,traffic_signals
103832235,31.2446302,121.4816304,traffic_signals
103851013,31.2471149,121.4811312,traffic_signals
103895144,31.2187755,121.4324469,
103896122,31.2257906,121.4580448,motorway_junction
103896524,31.2284486,121.4701431,
105253431,31.205829,121.4332681,
107669631,31.1958541,121.4234696,traffic_signals
107673297,31.1941859,121.4271977,traffic_signals
107673739,31.1955395,121.433443,
107673873,31.1956464,121.4339296,traffic_signals
107701259,31.1958226,121.4339068,traffic_signals
107701614,31.1957582,121.4335471,
107701939,31.1943709,121.4272879,traffic_signals
107702858,31.1930783,121.433313,
107723532,31.1988912,121.4402444,traffic_signals
107724512,31.2040002,121.4542491,traffic_signals
107742927,31.1992238,121.440211,traffic_signals
107743115,31.2005389,121.4432262,traffic_signals
107743333,31.2011749,121.4447393,
107743908,31.2043356,121.4541215,traffic_signals
107744185,31.2049188,121.4562317,traffic_signals
107758681,31.2008536,121.4430606,traffic_signals
107758818,31.2015842,121.445824,traffic_signals
109424516,31.2072186,121.4629477,traffic_signals
109425172,31.2122436,121.4616087,traffic_signals
109425203,31.2129153,121.4614703,
109425332,31.213688,121.4612668,traffic_signals
109425491,31.2166922,121.4604706,traffic_signals
109425717,31.2174587,121.4602898,
109425825,31.2207468,121.4593952,traffic_signals
109426242,31.2231881,121.4588199,
109426506,31.2258191,121.4587085,traffic_signals
109427057,31.2287964,121.458425,
109427633,31.2319525,121.4547602,traffic_signals
109428563,31.233416,121.4538224,traffic_signals
109428857,31.2330789,121.453008,
109429793,31.2376399,121.455696,traffic_signals
109430331,31.2455358,121.4507685,
109431506,31.2471285,121.4572458,
109432228,31.2465817,121.4583135,traffic_signals
109651383,31.2476708,121.4491784,traffic_signals
109651881,31.2454721,121.4506912,
109652012,31.2431448,121.4528791,traffic_signals
109652252,31.2375447,121.455494,traffic_signals
109652287,31.237444,121.4555408,traffic_signals
109679874,31.2438168,121.4524343,
109680332,31.2438711,121.4524976,
109682074,31.2480562,121.45274,
109682169,31.2478073,121.4490858,traffic_signals
109682178,31.2477935,121.4489244,traffic_signals
109731794,31.2579809,121.4592118,motorway_junction
111138587,31.2478287,121.4527464,
111148069,31.1957569,121.425944,
115005745,31.2285964,121.5052239,traffic_signals
115005789,31.2227486,121.5080948,traffic_signals
115006151,31.219037,121.509803,traffic_signals
115062332,31.2015484,121.507376,
115071457,31.2011777,121.5072711,
115112904,31.1982477,121.5048344,traffic_signals
115112983,31.1981089,121.504894,traffic_signals
115547719,31.2357802,121.5090663,
115547773,31.2358961,121.5089823,
115548081,31.2401055,121.5062936,
115548357,31.2400481,121.5061629,
115548383,31.2399925,121.5063635,
115548403,31.2399354,121.5062341,
130015480,31.2235764,121.4449742,traffic_signals
130015482,31.2217946,121.4461335,
130022540,31.2229349,121.4495239,
130022631,31.2210953,121.4504228,traffic_signals
131151425,31.2238176,121.4523716,traffic_signals
131166911,31.2144688,121.4527606,traffic_signals
131167245,31.2176804,121.4521976,traffic_signals
131184023,31.2116553,121.4424192,
131349812,31.2308946,121.4467442,
131350175,31.2302258,121.4472519,
131937881,31.2260589,121.4435047,traffic_signals
131939120,31.2271835,121.4429927,traffic_signals
131940524,31.2290514,121.442407,
132369185,31.2315031,121.448672,
132386149,31.2292258,121.4449728,
132491635,31.2330554,121.4656952,traffic_signals
146017176,31.2137227,121.4258021,
146017403,31.2159723,121.4285356,traffic_signals
146017735,31.2163227,121.4291751,
152846089,31.2192642,121.4476151,
152846113,31.2187013,121.4478265,
152846422,31.217358,121.4514226,traffic_signals
152847380,31.2309684,121.4826178,traffic_signals
152847559,31.2314635,121.4862999,traffic_signals
152848312,31.2288587,121.4922609,
152878617,31.2276041,121.4759111,traffic_signals
152887810,31.219066,121.4470862,
152888329,31.218636,121.4482261,
154072852,31.2123803,121.4421411,traffic_signals
154072919,31.2144433,121.4413847,traffic_signals
154072987,31.2161712,121.4406729,traffic_signals
154073129,31.2173279,121.4399522,
154073243,31.2143555,121.4409107,
154073348,31.2136865,121.449932,
154080003,31.2189666,121.4392437,
154885125,31.2216668,121.4387272,traffic_signals
154902768,31.2244502,121.4468029,motorway_junction
154903712,31.2259876,121.4587163,traffic_signals
156251914,31.2475508,121.4574843,traffic_signals
156252296,31.2480494,121.4531413,
156252570,31.2462754,121.4619008,
156252964,31.2442781,121.4669059,
156253438,31.2397037,121.4690652,traffic_signals
156253588,31.2407539,121.468587,
156253964,31.2462701,121.4403981,
156254168,31.2451059,121.4367773,
156254330,31.2461387,121.440456,
156255147,31.2503054,121.4394837,
156261340,31.2473211,121.4376299,
156261359,31.2458392,121.4389665,
156261519,31.2447021,121.4399928,
156261562,31.2432671,121.4413999,
156261648,31.2420709,121.442703,
156261805,31.2410741,121.4436152,
156261881,31.2407149,121.4439049,
156261938,31.2389912,121.4453307,
156347314,31.2461072,121.479289,
156347379,31.2477241,121.477479,
156347476,31.2457242,121.4777618,
156347579,31.2448441,121.4801953,
156380673,31.2423947,121.4792097,traffic_signals
156380930,31.2465295,121.4594204,
156381281,31.2461348,121.4619479,
156381596,31.2467086,121.466588,traffic_signals
210642888,31.2416929,121.4765695,
210643019,31.2420774,121.477741,traffic_signals
210643104,31.2311169,121.4903262,
210665702,31.2500011,121.4852013,
210667197,31.254361,121.4838185,
210667273,31.2550511,121.4833069,traffic_signals
210667408,31.2560036,121.4823696,
210667691,31.2600525,121.4840934,traffic_signals
210686289,31.2370092,121.4828464,traffic_signals
243843284,31.2041583,121.4305502,traffic_signals
243843425,31.1934806,121.4426422,traffic_signals
243843481,31.2018326,121.4385289,
243843485,31.2035321,121.4375939,
243843501,31.1963492,121.447876,traffic_signals
257172517,31.2423073,121.4202892,
265685694,31.2646499,121.4904542,
265695741,31.2632687,121.4932104,
265695904,31.2639424,121.4921114,
265696876,31.2630103,121.4898461,
